"Statistic","CensusYear","Sex","Province County or City","UNIT","VALUE"
"2002 Population at Each Census Since 1841","1841","Both sexes","Monaghan","Number","200442"
"2002 Population at Each Census Since 1841","1841","Male","State","Number","3222485"
"2002 Population at Each Census Since 1841","1841","Male","Leinster","Number","963747"
"2002 Population at Each Census Since 1841","1841","Male","Carlow","Number","42428"
"2002 Population at Each Census Since 1841","1841","Male","Dublin","Number","170930"
"2002 Population at Each Census Since 1841","1841","Male","Kildare","Number","58030"
"2002 Population at Each Census Since 1841","1841","Male","Kilkenny","Number","99114"
"2002 Population at Each Census Since 1841","1841","Male","Laois","Number","76403"
"2002 Population at Each Census Since 1841","1841","Male","Longford","Number","57610"
"2002 Population at Each Census Since 1841","1841","Male","Louth","Number","62297"
"2002 Population at Each Census Since 1841","1841","Male","Meath","Number","92494"
"2002 Population at Each Census Since 1841","1841","Male","Offaly","Number","72651"
"2002 Population at Each Census Since 1841","1841","Male","Westmeath","Number","70383"
"2002 Population at Each Census Since 1841","1841","Male","Wexford","Number","97918"
"2002 Population at Each Census Since 1841","1841","Male","Wicklow","Number","63489"
"2002 Population at Each Census Since 1841","1841","Male","Munster","Number","1186190"
"2002 Population at Each Census Since 1841","1841","Male","Clare","Number","144109"
"2002 Population at Each Census Since 1841","1841","Male","Cork","Number","420551"
"2002 Population at Each Census Since 1841","1841","Male","Kerry","Number","147307"
"2002 Population at Each Census Since 1841","1841","Male","Limerick","Number","161997"
"2002 Population at Each Census Since 1841","1841","Male","North Tipperary","Number","100558"
"2002 Population at Each Census Since 1841","1841","Male","South Tipperary","Number","116092"
"2002 Population at Each Census Since 1841","1841","Male","Waterford","Number","95576"
"2002 Population at Each Census Since 1841","1841","Male","Connacht","Number","707842"
"2002 Population at Each Census Since 1841","1841","Male","Galway","Number","219564"
"2002 Population at Each Census Since 1841","1841","Male","Leitrim","Number","77501"
"2002 Population at Each Census Since 1841","1841","Male","Mayo","Number","194198"
"2002 Population at Each Census Since 1841","1841","Male","Roscommon","Number","127016"
"2002 Population at Each Census Since 1841","1841","Male","Sligo","Number","89563"
"2002 Population at Each Census Since 1841","1841","Male","Ulster (part of)","Number","364706"
"2002 Population at Each Census Since 1841","1841","Male","Cavan","Number","120814"
"2002 Population at Each Census Since 1841","1841","Male","Donegal","Number","145821"
"2002 Population at Each Census Since 1841","1841","Male","Monaghan","Number","98071"
"2002 Population at Each Census Since 1841","1841","Female","State","Number","3306314"
"2002 Population at Each Census Since 1841","1841","Female","Leinster","Number","1009984"
"2002 Population at Each Census Since 1841","1841","Female","Carlow","Number","43800"
"2002 Population at Each Census Since 1841","1841","Female","Dublin","Number","201843"
"2002 Population at Each Census Since 1841","1841","Female","Kildare","Number","56458"
"2002 Population at Each Census Since 1841","1841","Female","Kilkenny","Number","103306"
"2002 Population at Each Census Since 1841","1841","Female","Laois","Number","77527"
"2002 Population at Each Census Since 1841","1841","Female","Longford","Number","57881"
"2002 Population at Each Census Since 1841","1841","Female","Louth","Number","65943"
"2002 Population at Each Census Since 1841","1841","Female","Meath","Number","91334"
"2002 Population at Each Census Since 1841","1841","Female","Offaly","Number","74206"
"2002 Population at Each Census Since 1841","1841","Female","Westmeath","Number","70917"
"2002 Population at Each Census Since 1841","1841","Female","Wexford","Number","104115"
"2002 Population at Each Census Since 1841","1841","Female","Wicklow","Number","62654"
"2002 Population at Each Census Since 1841","1841","Female","Munster","Number","1209971"
"2002 Population at Each Census Since 1841","1841","Female","Clare","Number","142285"
"2002 Population at Each Census Since 1841","1841","Female","Cork","Number","433567"
"2002 Population at Each Census Since 1841","1841","Female","Kerry","Number","146573"
"2002 Population at Each Census Since 1841","1841","Female","Limerick","Number","168032"
"2002 Population at Each Census Since 1841","1841","Female","North Tipperary","Number","100603"
"2002 Population at Each Census Since 1841","1841","Female","South Tipperary","Number","118300"
"2002 Population at Each Census Since 1841","1841","Female","Waterford","Number","100611"
"2002 Population at Each Census Since 1841","1841","Female","Connacht","Number","711017"
"2002 Population at Each Census Since 1841","1841","Female","Galway","Number","220634"
"2002 Population at Each Census Since 1841","1841","Female","Leitrim","Number","77796"
"2002 Population at Each Census Since 1841","1841","Female","Mayo","Number","194689"
"2002 Population at Each Census Since 1841","1841","Female","Roscommon","Number","126575"
"2002 Population at Each Census Since 1841","1841","Female","Sligo","Number","91323"
"2002 Population at Each Census Since 1841","1841","Female","Ulster (part of)","Number","375342"
"2002 Population at Each Census Since 1841","1841","Female","Cavan","Number","122344"
"2002 Population at Each Census Since 1841","1841","Female","Donegal","Number","150627"
"2002 Population at Each Census Since 1841","1841","Female","Monaghan","Number","102371"
"2002 Population at Each Census Since 1841","1851","Both sexes","State","Number","5111557"
"2002 Population at Each Census Since 1841","1851","Both sexes","Leinster","Number","1672738"
"2002 Population at Each Census Since 1841","1851","Both sexes","Carlow","Number","68078"
"2002 Population at Each Census Since 1841","1851","Both sexes","Dublin","Number","405147"
"2002 Population at Each Census Since 1841","1851","Both sexes","Kildare","Number","95723"
"2002 Population at Each Census Since 1841","1851","Both sexes","Kilkenny","Number","158748"
"2002 Population at Each Census Since 1841","1851","Both sexes","Laois","Number","111664"
"2002 Population at Each Census Since 1841","1851","Both sexes","Longford","Number","82348"
"2002 Population at Each Census Since 1841","1851","Both sexes","Louth","Number","107662"
"2002 Population at Each Census Since 1841","1851","Both sexes","Meath","Number","140748"
"2002 Population at Each Census Since 1841","1851","Both sexes","Offaly","Number","112076"
"2002 Population at Each Census Since 1841","1851","Both sexes","Westmeath","Number","111407"
"2002 Population at Each Census Since 1841","1851","Both sexes","Wexford","Number","180158"
"2002 Population at Each Census Since 1841","1851","Both sexes","Wicklow","Number","98979"
"2002 Population at Each Census Since 1841","1851","Both sexes","Munster","Number","1857736"
"2002 Population at Each Census Since 1841","1851","Both sexes","Clare","Number","212440"
"2002 Population at Each Census Since 1841","1851","Both sexes","Cork","Number","649308"
"2002 Population at Each Census Since 1841","1851","Both sexes","Kerry","Number","238254"
"2002 Population at Each Census Since 1841","1851","Both sexes","Limerick","Number","262132"
"2002 Population at Each Census Since 1841","1851","Both sexes","North Tipperary","Number","147164"
"2002 Population at Each Census Since 1841","1851","Both sexes","South Tipperary","Number","184403"
"2002 Population at Each Census Since 1841","1851","Both sexes","Waterford","Number","164035"
"2002 Population at Each Census Since 1841","1851","Both sexes","Connacht","Number","1010031"
"2002 Population at Each Census Since 1841","1851","Both sexes","Galway","Number","321684"
"2002 Population at Each Census Since 1841","1851","Both sexes","Leitrim","Number","111897"
"2002 Population at Each Census Since 1841","1851","Both sexes","Mayo","Number","274499"
"2002 Population at Each Census Since 1841","1851","Both sexes","Roscommon","Number","173436"
"2002 Population at Each Census Since 1841","1851","Both sexes","Sligo","Number","128515"
"2002 Population at Each Census Since 1841","1851","Both sexes","Ulster (part of)","Number","571052"
"2002 Population at Each Census Since 1841","1851","Both sexes","Cavan","Number","174071"
"2002 Population at Each Census Since 1841","1851","Both sexes","Donegal","Number","255158"
"2002 Population at Each Census Since 1841","1851","Both sexes","Monaghan","Number","141823"
"2002 Population at Each Census Since 1841","1851","Male","State","Number","2494478"
"2002 Population at Each Census Since 1841","1851","Male","Leinster","Number","813537"
"2002 Population at Each Census Since 1841","1851","Male","Carlow","Number","33016"
"2002 Population at Each Census Since 1841","1851","Male","Dublin","Number","187286"
"2002 Population at Each Census Since 1841","1851","Male","Kildare","Number","48528"
"2002 Population at Each Census Since 1841","1851","Male","Kilkenny","Number","76493"
"2002 Population at Each Census Since 1841","1851","Male","Laois","Number","55556"
"2002 Population at Each Census Since 1841","1851","Male","Longford","Number","41041"
"2002 Population at Each Census Since 1841","1851","Male","Louth","Number","52257"
"2002 Population at Each Census Since 1841","1851","Male","Meath","Number","70813"
"2002 Population at Each Census Since 1841","1851","Male","Offaly","Number","55284"
"2002 Population at Each Census Since 1841","1851","Male","Westmeath","Number","56095"
"2002 Population at Each Census Since 1841","1851","Male","Wexford","Number","86938"
"2002 Population at Each Census Since 1841","1851","Male","Wicklow","Number","50230"
"2002 Population at Each Census Since 1841","1851","Male","Munster","Number","904979"
"2002 Population at Each Census Since 1841","1851","Male","Clare","Number","103953"
"2002 Population at Each Census Since 1841","1851","Male","Cork","Number","318149"
"2002 Population at Each Census Since 1841","1851","Male","Kerry","Number","116511"
"2002 Population at Each Census Since 1841","1851","Male","Limerick","Number","127387"
"2002 Population at Each Census Since 1841","1851","Male","North Tipperary","Number","71049"
"2002 Population at Each Census Since 1841","1851","Male","South Tipperary","Number","88975"
"2002 Population at Each Census Since 1841","1851","Male","Waterford","Number","78955"
"2002 Population at Each Census Since 1841","1851","Male","Connacht","Number","495802"
"2002 Population at Each Census Since 1841","1851","Male","Galway","Number","157135"
"2002 Population at Each Census Since 1841","1851","Male","Leitrim","Number","56111"
"2002 Population at Each Census Since 1841","1851","Male","Mayo","Number","133264"
"2002 Population at Each Census Since 1841","1851","Male","Roscommon","Number","86411"
"2002 Population at Each Census Since 1841","1851","Male","Sligo","Number","62881"
"2002 Population at Each Census Since 1841","1851","Male","Ulster (part of)","Number","280160"
"2002 Population at Each Census Since 1841","1851","Male","Cavan","Number","86610"
"2002 Population at Each Census Since 1841","1851","Male","Donegal","Number","124723"
"2002 Population at Each Census Since 1841","1851","Male","Monaghan","Number","68827"
"2002 Population at Each Census Since 1841","1851","Female","State","Number","2617079"
"2002 Population at Each Census Since 1841","1851","Female","Leinster","Number","859201"
"2002 Population at Each Census Since 1841","1851","Female","Carlow","Number","35062"
"2002 Population at Each Census Since 1841","1851","Female","Dublin","Number","217861"
"2002 Population at Each Census Since 1841","1851","Female","Kildare","Number","47195"
"2002 Population at Each Census Since 1841","1851","Female","Kilkenny","Number","82255"
"2002 Population at Each Census Since 1841","1851","Female","Laois","Number","56108"
"2002 Population at Each Census Since 1841","1851","Female","Longford","Number","41307"
"2002 Population at Each Census Since 1841","1851","Female","Louth","Number","55405"
"2002 Population at Each Census Since 1841","1851","Female","Meath","Number","69935"
"2002 Population at Each Census Since 1841","1851","Female","Offaly","Number","56792"
"2002 Population at Each Census Since 1841","1851","Female","Westmeath","Number","55312"
"2002 Population at Each Census Since 1841","1851","Female","Wexford","Number","93220"
"2002 Population at Each Census Since 1841","1851","Female","Wicklow","Number","48749"
"2002 Population at Each Census Since 1841","1851","Female","Munster","Number","952757"
"2002 Population at Each Census Since 1841","1851","Female","Clare","Number","108487"
"2002 Population at Each Census Since 1841","1851","Female","Cork","Number","331159"
"2002 Population at Each Census Since 1841","1851","Female","Kerry","Number","121743"
"2002 Population at Each Census Since 1841","1851","Female","Limerick","Number","134745"
"2002 Population at Each Census Since 1841","1851","Female","North Tipperary","Number","76115"
"2002 Population at Each Census Since 1841","1851","Female","South Tipperary","Number","95428"
"2002 Population at Each Census Since 1841","1851","Female","Waterford","Number","85080"
"2002 Population at Each Census Since 1841","1851","Female","Connacht","Number","514229"
"2002 Population at Each Census Since 1841","1851","Female","Galway","Number","164549"
"2002 Population at Each Census Since 1841","1851","Female","Leitrim","Number","55786"
"2002 Population at Each Census Since 1841","1851","Female","Mayo","Number","141235"
"2002 Population at Each Census Since 1841","1851","Female","Roscommon","Number","87025"
"2002 Population at Each Census Since 1841","1851","Female","Sligo","Number","65634"
"2002 Population at Each Census Since 1841","1851","Female","Ulster (part of)","Number","290892"
"2002 Population at Each Census Since 1841","1851","Female","Cavan","Number","87461"
"2002 Population at Each Census Since 1841","1851","Female","Donegal","Number","130435"
"2002 Population at Each Census Since 1841","1851","Female","Monaghan","Number","72996"
"2002 Population at Each Census Since 1841","1861","Both sexes","State","Number","4402111"
"2002 Population at Each Census Since 1841","1861","Both sexes","Leinster","Number","1457635"
"2002 Population at Each Census Since 1841","1861","Both sexes","Carlow","Number","57137"
"2002 Population at Each Census Since 1841","1861","Both sexes","Dublin","Number","410252"
"2002 Population at Each Census Since 1841","1861","Both sexes","Kildare","Number","90946"
"2002 Population at Each Census Since 1841","1861","Both sexes","Kilkenny","Number","124515"
"2002 Population at Each Census Since 1841","1861","Both sexes","Laois","Number","90650"
"2002 Population at Each Census Since 1841","1861","Both sexes","Longford","Number","71694"
"2002 Population at Each Census Since 1841","1861","Both sexes","Louth","Number","90713"
"2002 Population at Each Census Since 1841","1861","Both sexes","Meath","Number","110373"
"2002 Population at Each Census Since 1841","1861","Both sexes","Offaly","Number","90043"
"2002 Population at Each Census Since 1841","1861","Both sexes","Westmeath","Number","90879"
"2002 Population at Each Census Since 1841","1861","Both sexes","Wexford","Number","143954"
"2002 Population at Each Census Since 1841","1861","Both sexes","Wicklow","Number","86479"
"2002 Population at Each Census Since 1841","1861","Both sexes","Munster","Number","1513558"
"2002 Population at Each Census Since 1841","1861","Both sexes","Clare","Number","166305"
"2002 Population at Each Census Since 1841","1861","Both sexes","Cork","Number","544818"
"2002 Population at Each Census Since 1841","1861","Both sexes","Kerry","Number","201800"
"2002 Population at Each Census Since 1841","1861","Both sexes","Limerick","Number","217277"
"2002 Population at Each Census Since 1841","1861","Both sexes","North Tipperary","Number","109220"
"2002 Population at Each Census Since 1841","1861","Both sexes","South Tipperary","Number","139886"
"2002 Population at Each Census Since 1841","1861","Both sexes","Waterford","Number","134252"
"2002 Population at Each Census Since 1841","1861","Both sexes","Connacht","Number","913135"
"2002 Population at Each Census Since 1841","1861","Both sexes","Galway","Number","271478"
"2002 Population at Each Census Since 1841","1861","Both sexes","Leitrim","Number","104744"
"2002 Population at Each Census Since 1841","1861","Both sexes","Mayo","Number","254796"
"2002 Population at Each Census Since 1841","1861","Both sexes","Roscommon","Number","157272"
"2002 Population at Each Census Since 1841","1861","Both sexes","Sligo","Number","124845"
"2002 Population at Each Census Since 1841","1861","Both sexes","Ulster (part of)","Number","517783"
"2002 Population at Each Census Since 1841","1861","Both sexes","Cavan","Number","153906"
"2002 Population at Each Census Since 1841","1861","Both sexes","Donegal","Number","237395"
"2002 Population at Each Census Since 1841","1861","Both sexes","Monaghan","Number","126482"
"2002 Population at Each Census Since 1841","1861","Male","State","Number","2169042"
"2002 Population at Each Census Since 1841","1861","Male","Leinster","Number","715005"
"2002 Population at Each Census Since 1841","1861","Male","Carlow","Number","28139"
"2002 Population at Each Census Since 1841","1861","Male","Dublin","Number","191435"
"2002 Population at Each Census Since 1841","1861","Male","Kildare","Number","48960"
"2002 Population at Each Census Since 1841","1861","Male","Kilkenny","Number","60317"
"2002 Population at Each Census Since 1841","1861","Male","Laois","Number","45112"
"2002 Population at Each Census Since 1841","1861","Male","Longford","Number","36044"
"2002 Population at Each Census Since 1841","1861","Male","Louth","Number","44241"
"2002 Population at Each Census Since 1841","1861","Male","Meath","Number","55800"
"2002 Population at Each Census Since 1841","1861","Male","Offaly","Number","45513"
"2002 Population at Each Census Since 1841","1861","Male","Westmeath","Number","46218"
"2002 Population at Each Census Since 1841","1861","Male","Wexford","Number","69104"
"2002 Population at Each Census Since 1841","1861","Male","Wicklow","Number","44122"
"2002 Population at Each Census Since 1841","1861","Male","Munster","Number","744682"
"2002 Population at Each Census Since 1841","1861","Male","Clare","Number","82541"
"2002 Population at Each Census Since 1841","1861","Male","Cork","Number","269637"
"2002 Population at Each Census Since 1841","1861","Male","Kerry","Number","99999"
"2002 Population at Each Census Since 1841","1861","Male","Limerick","Number","105712"
"2002 Population at Each Census Since 1841","1861","Male","North Tipperary","Number","53967"
"2002 Population at Each Census Since 1841","1861","Male","South Tipperary","Number","68516"
"2002 Population at Each Census Since 1841","1861","Male","Waterford","Number","64310"
"2002 Population at Each Census Since 1841","1861","Male","Connacht","Number","454035"
"2002 Population at Each Census Since 1841","1861","Male","Galway","Number","134057"
"2002 Population at Each Census Since 1841","1861","Male","Leitrim","Number","52562"
"2002 Population at Each Census Since 1841","1861","Male","Mayo","Number","125636"
"2002 Population at Each Census Since 1841","1861","Male","Roscommon","Number","79841"
"2002 Population at Each Census Since 1841","1861","Male","Sligo","Number","61939"
"2002 Population at Each Census Since 1841","1861","Male","Ulster (part of)","Number","255320"
"2002 Population at Each Census Since 1841","1861","Male","Cavan","Number","77503"
"2002 Population at Each Census Since 1841","1861","Male","Donegal","Number","115875"
"2002 Population at Each Census Since 1841","1861","Male","Monaghan","Number","61942"
"2002 Population at Each Census Since 1841","1861","Female","State","Number","2233069"
"2002 Population at Each Census Since 1841","1861","Female","Leinster","Number","742630"
"2002 Population at Each Census Since 1841","1861","Female","Carlow","Number","28998"
"2002 Population at Each Census Since 1841","1861","Female","Dublin","Number","218817"
"2002 Population at Each Census Since 1841","1861","Female","Kildare","Number","41986"
"2002 Population at Each Census Since 1841","1861","Female","Kilkenny","Number","64198"
"2002 Population at Each Census Since 1841","1861","Female","Laois","Number","45538"
"2002 Population at Each Census Since 1841","1861","Female","Longford","Number","35650"
"2002 Population at Each Census Since 1841","1861","Female","Louth","Number","46472"
"2002 Population at Each Census Since 1841","1861","Female","Meath","Number","54573"
"2002 Population at Each Census Since 1841","1861","Female","Offaly","Number","44530"
"2002 Population at Each Census Since 1841","1861","Female","Westmeath","Number","44661"
"2002 Population at Each Census Since 1841","1861","Female","Wexford","Number","74850"
"2002 Population at Each Census Since 1841","1861","Female","Wicklow","Number","42357"
"2002 Population at Each Census Since 1841","1861","Female","Munster","Number","768876"
"2002 Population at Each Census Since 1841","1861","Female","Clare","Number","83764"
"2002 Population at Each Census Since 1841","1861","Female","Cork","Number","275181"
"2002 Population at Each Census Since 1841","1861","Female","Kerry","Number","101801"
"2002 Population at Each Census Since 1841","1861","Female","Limerick","Number","111565"
"2002 Population at Each Census Since 1841","1861","Female","North Tipperary","Number","55253"
"2002 Population at Each Census Since 1841","1861","Female","South Tipperary","Number","71370"
"2002 Population at Each Census Since 1841","1861","Female","Waterford","Number","69942"
"2002 Population at Each Census Since 1841","1861","Female","Connacht","Number","459100"
"2002 Population at Each Census Since 1841","1861","Female","Galway","Number","137421"
"2002 Population at Each Census Since 1841","1861","Female","Leitrim","Number","52182"
"2002 Population at Each Census Since 1841","1861","Female","Mayo","Number","129160"
"2002 Population at Each Census Since 1841","1861","Female","Roscommon","Number","77431"
"2002 Population at Each Census Since 1841","1861","Female","Sligo","Number","62906"
"2002 Population at Each Census Since 1841","1861","Female","Ulster (part of)","Number","262463"
"2002 Population at Each Census Since 1841","1861","Female","Cavan","Number","76403"
"2002 Population at Each Census Since 1841","1861","Female","Donegal","Number","121520"
"2002 Population at Each Census Since 1841","1861","Female","Monaghan","Number","64540"
"2002 Population at Each Census Since 1841","1871","Both sexes","State","Number","4053187"
"2002 Population at Each Census Since 1841","1871","Both sexes","Leinster","Number","1339451"
"2002 Population at Each Census Since 1841","1871","Both sexes","Carlow","Number","51650"
"2002 Population at Each Census Since 1841","1871","Both sexes","Dublin","Number","405262"
"2002 Population at Each Census Since 1841","1871","Both sexes","Kildare","Number","83614"
"2002 Population at Each Census Since 1841","1871","Both sexes","Kilkenny","Number","109379"
"2002 Population at Each Census Since 1841","1871","Both sexes","Laois","Number","79771"
"2002 Population at Each Census Since 1841","1871","Both sexes","Longford","Number","64501"
"2002 Population at Each Census Since 1841","1871","Both sexes","Louth","Number","84021"
"2002 Population at Each Census Since 1841","1871","Both sexes","Meath","Number","95558"
"2002 Population at Each Census Since 1841","1871","Both sexes","Offaly","Number","75900"
"2002 Population at Each Census Since 1841","1871","Both sexes","Westmeath","Number","78432"
"2002 Population at Each Census Since 1841","1871","Both sexes","Wexford","Number","132666"
"2002 Population at Each Census Since 1841","1871","Both sexes","Wicklow","Number","78697"
"2002 Population at Each Census Since 1841","1871","Both sexes","Munster","Number","1393485"
"2002 Population at Each Census Since 1841","1871","Both sexes","Clare","Number","147864"
"2002 Population at Each Census Since 1841","1871","Both sexes","Cork","Number","517076"
"2002 Population at Each Census Since 1841","1871","Both sexes","Kerry","Number","196586"
"2002 Population at Each Census Since 1841","1871","Both sexes","Limerick","Number","191936"
"2002 Population at Each Census Since 1841","1871","Both sexes","North Tipperary","Number","93617"
"2002 Population at Each Census Since 1841","1871","Both sexes","South Tipperary","Number","123096"
"2002 Population at Each Census Since 1841","1871","Both sexes","Waterford","Number","123310"
"2002 Population at Each Census Since 1841","1871","Both sexes","Connacht","Number","846213"
"2002 Population at Each Census Since 1841","1871","Both sexes","Galway","Number","248458"
"2002 Population at Each Census Since 1841","1871","Both sexes","Leitrim","Number","95562"
"2002 Population at Each Census Since 1841","1871","Both sexes","Mayo","Number","246030"
"2002 Population at Each Census Since 1841","1871","Both sexes","Roscommon","Number","140670"
"2002 Population at Each Census Since 1841","1871","Both sexes","Sligo","Number","115493"
"2002 Population at Each Census Since 1841","1871","Both sexes","Ulster (part of)","Number","474038"
"2002 Population at Each Census Since 1841","1871","Both sexes","Cavan","Number","140735"
"2002 Population at Each Census Since 1841","1871","Both sexes","Donegal","Number","218334"
"2002 Population at Each Census Since 1841","1871","Both sexes","Monaghan","Number","114969"
"2002 Population at Each Census Since 1841","1871","Male","State","Number","1992468"
"2002 Population at Each Census Since 1841","1871","Male","Leinster","Number","655114"
"2002 Population at Each Census Since 1841","1871","Male","Carlow","Number","25464"
"2002 Population at Each Census Since 1841","1871","Male","Dublin","Number","188108"
"2002 Population at Each Census Since 1841","1871","Male","Kildare","Number","44946"
"2002 Population at Each Census Since 1841","1871","Male","Kilkenny","Number","52965"
"2002 Population at Each Census Since 1841","1871","Male","Laois","Number","39843"
"2002 Population at Each Census Since 1841","1871","Male","Longford","Number","32512"
"2002 Population at Each Census Since 1841","1871","Male","Louth","Number","41033"
"2002 Population at Each Census Since 1841","1871","Male","Meath","Number","48437"
"2002 Population at Each Census Since 1841","1871","Male","Offaly","Number","38307"
"2002 Population at Each Census Since 1841","1871","Male","Westmeath","Number","39804"
"2002 Population at Each Census Since 1841","1871","Male","Wexford","Number","64199"
"2002 Population at Each Census Since 1841","1871","Male","Wicklow","Number","39496"
"2002 Population at Each Census Since 1841","1871","Male","Munster","Number","686106"
"2002 Population at Each Census Since 1841","1871","Male","Clare","Number","73442"
"2002 Population at Each Census Since 1841","1871","Male","Cork","Number","256062"
"2002 Population at Each Census Since 1841","1871","Male","Kerry","Number","97913"
"2002 Population at Each Census Since 1841","1871","Male","Limerick","Number","93112"
"2002 Population at Each Census Since 1841","1871","Male","North Tipperary","Number","46405"
"2002 Population at Each Census Since 1841","1871","Male","South Tipperary","Number","60094"
"2002 Population at Each Census Since 1841","1871","Male","Waterford","Number","59078"
"2002 Population at Each Census Since 1841","1871","Male","Connacht","Number","418728"
"2002 Population at Each Census Since 1841","1871","Male","Galway","Number","122496"
"2002 Population at Each Census Since 1841","1871","Male","Leitrim","Number","47724"
"2002 Population at Each Census Since 1841","1871","Male","Mayo","Number","120877"
"2002 Population at Each Census Since 1841","1871","Male","Roscommon","Number","70647"
"2002 Population at Each Census Since 1841","1871","Male","Sligo","Number","56984"
"2002 Population at Each Census Since 1841","1871","Male","Ulster (part of)","Number","232520"
"2002 Population at Each Census Since 1841","1871","Male","Cavan","Number","70479"
"2002 Population at Each Census Since 1841","1871","Male","Donegal","Number","106080"
"2002 Population at Each Census Since 1841","1871","Male","Monaghan","Number","55961"
"2002 Population at Each Census Since 1841","1871","Female","State","Number","2060719"
"2002 Population at Each Census Since 1841","1871","Female","Leinster","Number","684337"
"2002 Population at Each Census Since 1841","1871","Female","Carlow","Number","26186"
"2002 Population at Each Census Since 1841","1871","Female","Dublin","Number","217154"
"2002 Population at Each Census Since 1841","1871","Female","Kildare","Number","38668"
"2002 Population at Each Census Since 1841","1871","Female","Kilkenny","Number","56414"
"2002 Population at Each Census Since 1841","1871","Female","Laois","Number","39928"
"2002 Population at Each Census Since 1841","1871","Female","Longford","Number","31989"
"2002 Population at Each Census Since 1841","1871","Female","Louth","Number","42988"
"2002 Population at Each Census Since 1841","1871","Female","Meath","Number","47121"
"2002 Population at Each Census Since 1841","1871","Female","Offaly","Number","37593"
"2002 Population at Each Census Since 1841","1871","Female","Westmeath","Number","38628"
"2002 Population at Each Census Since 1841","1871","Female","Wexford","Number","68467"
"2002 Population at Each Census Since 1841","1871","Female","Wicklow","Number","39201"
"2002 Population at Each Census Since 1841","1871","Female","Munster","Number","707379"
"2002 Population at Each Census Since 1841","1871","Female","Clare","Number","74422"
"2002 Population at Each Census Since 1841","1871","Female","Cork","Number","261014"
"2002 Population at Each Census Since 1841","1871","Female","Kerry","Number","98673"
"2002 Population at Each Census Since 1841","1871","Female","Limerick","Number","98824"
"2002 Population at Each Census Since 1841","1871","Female","North Tipperary","Number","47212"
"2002 Population at Each Census Since 1841","1871","Female","South Tipperary","Number","63002"
"2002 Population at Each Census Since 1841","1871","Female","Waterford","Number","64232"
"2002 Population at Each Census Since 1841","1871","Female","Connacht","Number","427485"
"2002 Population at Each Census Since 1841","1871","Female","Galway","Number","125962"
"2002 Population at Each Census Since 1841","1871","Female","Leitrim","Number","47838"
"2002 Population at Each Census Since 1841","1871","Female","Mayo","Number","125153"
"2002 Population at Each Census Since 1841","1871","Female","Roscommon","Number","70023"
"2002 Population at Each Census Since 1841","1871","Female","Sligo","Number","58509"
"2002 Population at Each Census Since 1841","1871","Female","Ulster (part of)","Number","241518"
"2002 Population at Each Census Since 1841","1871","Female","Cavan","Number","70256"
"2002 Population at Each Census Since 1841","1871","Female","Donegal","Number","112254"
"2002 Population at Each Census Since 1841","1871","Female","Monaghan","Number","59008"
"2002 Population at Each Census Since 1841","1881","Both sexes","State","Number","3870020"
