"Statistic","HalfYear","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Swords, Dublin","Euro","1234.66"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 1","Euro","1226.2"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","1430.82"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1396.29"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro","1631.86"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Summerhill, Dublin 1","Euro","1112.29"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 2","Euro","1467.65"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Aungier Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Grand Canal Square, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Hanover Quay, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Lower Mount Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Pearse Street, Dublin 2","Euro","1445.94"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tara Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Temple Bar, Dublin 2","Euro","1535"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Townsend Street, Dublin 2","Euro","1411.98"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 3","Euro","1316.33"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clonliffe, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clontarf, Dublin 3","Euro","1382.39"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Drumcondra, Dublin 3","Euro","1191.23"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","East Wall, Dublin 3","Euro","1341.93"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Eastwall, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Fairview, Dublin 3","Euro","1117.63"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Marino, Dublin 3","Euro","1457.36"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","North Strand, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 4","Euro","1650.45"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballsbridge, Dublin 4","Euro","1749.6"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Donnybrook, Dublin 4","Euro","1707.38"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Irishtown, Dublin 4","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Merrion, Dublin 4","Euro","1545.74"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Pembroke, Dublin 4","Euro","1329.75"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ringsend, Dublin 4","Euro","1440.46"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sandymount, Dublin 4","Euro","1876.18"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 5","Euro","1316.06"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Artane, Dublin 5","Euro","1324.73"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Killester, Dublin 5","Euro","1372.74"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Raheny, Dublin 5","Euro","1367.37"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 6","Euro","1225.23"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dartry, Dublin 6","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Harolds Cross, Dublin 6","Euro","1347.15"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Milltown, Dublin 6","Euro","1623.32"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ranelagh, Dublin 6","Euro","1308.17"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rathgar, Dublin 6","Euro","1168.53"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rathmines, Dublin 6","Euro","1083.4"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Terenure, Dublin 6","Euro","1258.91"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 6W","Euro","1391.85"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Harolds Cross, Dublin 6W","Euro","1307.49"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Templeogue, Dublin 6W","Euro","1467.27"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Terenure, Dublin 6W","Euro","1554.01"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 7","Euro","1118.23"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Arbour Hill, Dublin 7","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cabra, Dublin 7","Euro","1001.31"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Navan Road, Dublin 7","Euro","1292.94"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","North Circular Road, Dublin 7","Euro","1143.3"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Phibsboro, Dublin 7","Euro","986.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Smithfield, Dublin 7","Euro","1379.83"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Stoneybatter, Dublin 7","Euro","1157.57"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 8","Euro","1208.71"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Christchurch, Dublin 8","Euro","1267.03"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cork Street, Dublin 8","Euro","1260.5"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dolphins Barn, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Inchicore, Dublin 8","Euro","1235.7"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Islandbridge, Dublin 8","Euro","1292.41"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kilmainham , Dublin 8","Euro","1268.27"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Portobello, Dublin 8","Euro","1088.8"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rialto, Dublin 8","Euro","1200.58"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","South Circular Road, Dublin 8","Euro","1153.08"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","The Coombe, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 9","Euro","1235.25"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballymun, Dublin 9","Euro","1115.15"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Beaumont, Dublin 9","Euro","1277.92"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Drumcondra, Dublin 9","Euro","1232.33"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Glasnevin, Dublin 9","Euro","1159.12"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Santry, Dublin 9","Euro","1223.01"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Whitehall, Dublin 9","Euro","1262.73"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 10","Euro","1149.41"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballyfermot, Dublin 10","Euro","1171.12"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cherry Orchard, Dublin 10","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 11","Euro","1196.08"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballymun, Dublin 11","Euro","1060.61"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Finglas, Dublin 11","Euro","1189.87"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Glasnevin, Dublin 11","Euro","1335.8"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Meakstown, Dublin 11","Euro","1274.76"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","St Margarets Road, Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 12","Euro","1300.92"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Crumlin, Dublin 12","Euro","1268.88"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Drimnagh, Dublin 12","Euro","1356.56"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kimmage, Dublin 12","Euro","1235.62"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Walkinstown, Dublin 12","Euro","1323.25"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 13","Euro","1358.62"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Baldoyle, Dublin 13","Euro","1379.86"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Balgriffin, Dublin 13","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clongriffin, Dublin 13","Euro","1246.3"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Donaghmede, Dublin 13","Euro","1299.07"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sutton, Dublin 13","Euro","1570.52"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 14","Euro","1570.01"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Churchtown, Dublin 14","Euro","1681.31"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clonskeagh, Dublin 14","Euro","1650.35"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dundrum, Dublin 14","Euro","1534.46"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Goatstown, Dublin 14","Euro","1722.44"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rathfarnham, Dublin 14","Euro","1489.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 15","Euro","1273.02"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ashtown, Dublin 15","Euro","1274.4"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Blanchardstown, Dublin 15","Euro","1188.93"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carpenterstown, Dublin 15","Euro","1240.36"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castleknock, Dublin 15","Euro","1356.93"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clonee, Dublin 15","Euro","1227.26"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clonsilla, Dublin 15","Euro","1273.12"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Coolmine, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mulhuddart, Dublin 15","Euro","1173.3"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ongar, Dublin 15","Euro","1180.47"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Porterstown, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Royal Canal Park, Dublin 15","Euro","1239.92"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tyrrelstown, Dublin 15","Euro","1331.79"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 16","Euro","1497.05"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballinteer, Dublin 16","Euro","1535.89"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dundrum, Dublin 16","Euro","1564.69"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Knocklyon, Dublin 16","Euro","1463.12"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rathfarnham, Dublin 16","Euro","1479.85"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sandyford, Dublin 16","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 17","Euro","1273.27"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Malahide Road, Dublin 17","Euro","1314.86"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Northern Cross, Dublin 17","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 18","Euro","1552.95"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cabinteely, Dublin 18","Euro","1425.61"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carrickmines, Dublin 18","Euro","1660.43"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Foxrock, Dublin 18","Euro","2161.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Leopardstown, Dublin 18","Euro","1663.38"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sandyford, Dublin 18","Euro","1503.74"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Stepaside, Dublin 18","Euro","1452.83"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 20","Euro","1243.74"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Chapelizod, Dublin 20","Euro","1232.45"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Palmerstown, Dublin 20","Euro","1280.15"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clondalkin, Dublin 22","Euro","1173.25"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin 24","Euro","1234.07"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballycullen, Dublin 24","Euro","1334.75"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Citywest, Dublin 24","Euro","1224.18"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Firhouse, Dublin 24","Euro","1285.66"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tallaght, Dublin 24","Euro","1205.54"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Galway","Euro","854.73"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Galway City","Euro","928.29"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Athenry, Galway","Euro","729.42"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballinasloe, Galway","Euro","640.7"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballybane, Galway","Euro","876.64"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballybrit, Galway","Euro","897.96"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Barna, Galway","Euro","1001.98"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Bohermore, Galway","Euro","989.67"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Claregalway, Galway","Euro","779.64"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clifden, Galway","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Doughiska, Galway","Euro","850.79"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Gort, Galway","Euro","768.11"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Headford, Galway","Euro","901.42"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Knocknacarra, Galway","Euro","891.26"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Loughrea, Galway","Euro","634.95"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mervue, Galway","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Monivea, Galway","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Moycullen, Galway","Euro","733.1"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Newcastle, Galway","Euro","984.78"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Oranmore, Galway","Euro","837.81"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Oughterard, Galway","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Portumna, Galway","Euro","654.19"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rahoon, Galway","Euro","908.19"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Renmore, Galway","Euro","907.59"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Roscam, Galway","Euro","950.21"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Salthill, Galway","Euro","927.44"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tuam, Galway","Euro","647.71"
