"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2011","Male","Aggregate Rural Area","Fingal","Number","10710"
"Population","2011","Male","Aggregate Rural Area","South Dublin","Number","2803"
"Population","2011","Male","Aggregate Rural Area","Kildare","Number","34492"
"Population","2011","Male","Aggregate Rural Area","Kilkenny","Number","30600"
"Population","2011","Male","Aggregate Rural Area","Laois","Number","21498"
"Population","2011","Male","Aggregate Rural Area","Longford","Number","13349"
"Population","2011","Male","Aggregate Rural Area","Louth","Number","22060"
"Population","2011","Male","Aggregate Rural Area","Meath","Number","40122"
"Population","2011","Male","Aggregate Rural Area","Offaly","Number","21986"
"Population","2011","Male","Aggregate Rural Area","Westmeath","Number","22255"
"Population","2011","Male","Aggregate Rural Area","Wexford","Number","44928"
"Population","2011","Male","Aggregate Rural Area","Wicklow","Number","24229"
"Population","2011","Male","Aggregate Rural Area","Clare","Number","35778"
"Population","2011","Male","Aggregate Rural Area","Cork City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Cork County","Number","98849"
"Population","2011","Male","Aggregate Rural Area","Kerry","Number","47750"
"Population","2011","Male","Aggregate Rural Area","Limerick City and County","Number","45024"
"Population","2011","Male","Aggregate Rural Area","Tipperary","Number","47414"
"Population","2011","Male","Aggregate Rural Area","Waterford City and County","Number","21861"
"Population","2011","Male","Aggregate Rural Area","Galway City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Galway County","Number","68954"
"Population","2011","Male","Aggregate Rural Area","Leitrim","Number","14539"
"Population","2011","Male","Aggregate Rural Area","Mayo","Number","47130"
"Population","2011","Male","Aggregate Rural Area","Roscommon","Number","24192"
"Population","2011","Male","Aggregate Rural Area","Sligo","Number","20763"
"Population","2011","Male","Aggregate Rural Area","Cavan","Number","26173"
"Population","2011","Male","Aggregate Rural Area","Donegal","Number","59142"
"Population","2011","Male","Aggregate Rural Area","Monaghan","Number","21859"
"Population","2011","Female","State","State","Number","2315553"
"Population","2011","Female","State","Carlow","Number","27181"
"Population","2011","Female","State","Dublin City","Number","270309"
"Population","2011","Female","State","Dún Laoghaire-Rathdown","Number","107694"
"Population","2011","Female","State","Fingal","Number","139503"
"Population","2011","Female","State","South Dublin","Number","135661"
"Population","2011","Female","State","Kildare","Number","105654"
"Population","2011","Female","State","Kilkenny","Number","47631"
"Population","2011","Female","State","Laois","Number","39972"
"Population","2011","Female","State","Longford","Number","19351"
"Population","2011","Female","State","Louth","Number","62134"
"Population","2011","Female","State","Meath","Number","92225"
"Population","2011","Female","State","Offaly","Number","38257"
"Population","2011","Female","State","Westmeath","Number","43381"
"Population","2011","Female","State","Wexford","Number","73411"
"Population","2011","Female","State","Wicklow","Number","69098"
"Population","2011","Female","State","Clare","Number","58898"
"Population","2011","Female","State","Cork City","Number","60418"
"Population","2011","Female","State","Cork County","Number","201144"
"Population","2011","Female","State","Kerry","Number","72873"
"Population","2011","Female","State","Limerick City and County","Number","95994"
"Population","2011","Female","State","Tipperary","Number","79170"
"Population","2011","Female","State","Waterford City and County","Number","57331"
"Population","2011","Female","State","Galway City","Number","39015"
"Population","2011","Female","State","Galway County","Number","86880"
"Population","2011","Female","State","Leitrim","Number","15654"
"Population","2011","Female","State","Mayo","Number","65218"
"Population","2011","Female","State","Roscommon","Number","31712"
"Population","2011","Female","State","Sligo","Number","32958"
"Population","2011","Female","State","Cavan","Number","36170"
"Population","2011","Female","State","Donegal","Number","80614"
"Population","2011","Female","State","Monaghan","Number","30042"
"Population","2011","Female","Aggregate Town Area","State","Number","1457722"
"Population","2011","Female","Aggregate Town Area","Carlow","Number","13473"
"Population","2011","Female","Aggregate Town Area","Dublin City","Number","270309"
"Population","2011","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","106681"
"Population","2011","Female","Aggregate Town Area","Fingal","Number","129055"
"Population","2011","Female","Aggregate Town Area","South Dublin","Number","132988"
"Population","2011","Female","Aggregate Town Area","Kildare","Number","72005"
"Population","2011","Female","Aggregate Town Area","Kilkenny","Number","18141"
"Population","2011","Female","Aggregate Town Area","Laois","Number","19092"
"Population","2011","Female","Aggregate Town Area","Longford","Number","6608"
"Population","2011","Female","Aggregate Town Area","Louth","Number","40414"
"Population","2011","Female","Aggregate Town Area","Meath","Number","53230"
"Population","2011","Female","Aggregate Town Area","Offaly","Number","17182"
"Population","2011","Female","Aggregate Town Area","Westmeath","Number","21295"
"Population","2011","Female","Aggregate Town Area","Wexford","Number","28630"
"Population","2011","Female","Aggregate Town Area","Wicklow","Number","45632"
"Population","2011","Female","Aggregate Town Area","Clare","Number","23861"
"Population","2011","Female","Aggregate Town Area","Cork City","Number","60418"
"Population","2011","Female","Aggregate Town Area","Cork County","Number","104723"
"Population","2011","Female","Aggregate Town Area","Kerry","Number","26600"
"Population","2011","Female","Aggregate Town Area","Limerick City and County","Number","52608"
"Population","2011","Female","Aggregate Town Area","Tipperary","Number","33708"
"Population","2011","Female","Aggregate Town Area","Waterford City and County","Number","36044"
"Population","2011","Female","Aggregate Town Area","Galway City","Number","39015"
"Population","2011","Female","Aggregate Town Area","Galway County","Number","20256"
"Population","2011","Female","Aggregate Town Area","Leitrim","Number","1709"
"Population","2011","Female","Aggregate Town Area","Mayo","Number","19605"
"Population","2011","Female","Aggregate Town Area","Roscommon","Number","8501"
"Population","2011","Female","Aggregate Town Area","Sligo","Number","12662"
"Population","2011","Female","Aggregate Town Area","Cavan","Number","11194"
"Population","2011","Female","Aggregate Town Area","Donegal","Number","22893"
"Population","2011","Female","Aggregate Town Area","Monaghan","Number","9190"
"Population","2011","Female","Aggregate Rural Area","State","Number","857831"
"Population","2011","Female","Aggregate Rural Area","Carlow","Number","13708"
"Population","2011","Female","Aggregate Rural Area","Dublin City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1013"
"Population","2011","Female","Aggregate Rural Area","Fingal","Number","10448"
"Population","2011","Female","Aggregate Rural Area","South Dublin","Number","2673"
"Population","2011","Female","Aggregate Rural Area","Kildare","Number","33649"
"Population","2011","Female","Aggregate Rural Area","Kilkenny","Number","29490"
"Population","2011","Female","Aggregate Rural Area","Laois","Number","20880"
"Population","2011","Female","Aggregate Rural Area","Longford","Number","12743"
"Population","2011","Female","Aggregate Rural Area","Louth","Number","21720"
"Population","2011","Female","Aggregate Rural Area","Meath","Number","38995"
"Population","2011","Female","Aggregate Rural Area","Offaly","Number","21075"
"Population","2011","Female","Aggregate Rural Area","Westmeath","Number","22086"
"Population","2011","Female","Aggregate Rural Area","Wexford","Number","44781"
"Population","2011","Female","Aggregate Rural Area","Wicklow","Number","23466"
"Population","2011","Female","Aggregate Rural Area","Clare","Number","35037"
"Population","2011","Female","Aggregate Rural Area","Cork City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Cork County","Number","96421"
"Population","2011","Female","Aggregate Rural Area","Kerry","Number","46273"
"Population","2011","Female","Aggregate Rural Area","Limerick City and County","Number","43386"
"Population","2011","Female","Aggregate Rural Area","Tipperary","Number","45462"
"Population","2011","Female","Aggregate Rural Area","Waterford City and County","Number","21287"
"Population","2011","Female","Aggregate Rural Area","Galway City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Galway County","Number","66624"
"Population","2011","Female","Aggregate Rural Area","Leitrim","Number","13945"
"Population","2011","Female","Aggregate Rural Area","Mayo","Number","45613"
"Population","2011","Female","Aggregate Rural Area","Roscommon","Number","23211"
"Population","2011","Female","Aggregate Rural Area","Sligo","Number","20296"
"Population","2011","Female","Aggregate Rural Area","Cavan","Number","24976"
"Population","2011","Female","Aggregate Rural Area","Donegal","Number","57721"
"Population","2011","Female","Aggregate Rural Area","Monaghan","Number","20852"
"Population","2016","Both sexes","State","State","Number","4761865"
"Population","2016","Both sexes","State","Carlow","Number","56932"
"Population","2016","Both sexes","State","Dublin City","Number","554554"
"Population","2016","Both sexes","State","Dún Laoghaire-Rathdown","Number","218018"
"Population","2016","Both sexes","State","Fingal","Number","296020"
"Population","2016","Both sexes","State","South Dublin","Number","278767"
"Population","2016","Both sexes","State","Kildare","Number","222504"
"Population","2016","Both sexes","State","Kilkenny","Number","99232"
"Population","2016","Both sexes","State","Laois","Number","84697"
"Population","2016","Both sexes","State","Longford","Number","40873"
"Population","2016","Both sexes","State","Louth","Number","128884"
"Population","2016","Both sexes","State","Meath","Number","195044"
"Population","2016","Both sexes","State","Offaly","Number","77961"
"Population","2016","Both sexes","State","Westmeath","Number","88770"
"Population","2016","Both sexes","State","Wexford","Number","149722"
"Population","2016","Both sexes","State","Wicklow","Number","142425"
"Population","2016","Both sexes","State","Clare","Number","118817"
"Population","2016","Both sexes","State","Cork City","Number","125657"
"Population","2016","Both sexes","State","Cork County","Number","417211"
"Population","2016","Both sexes","State","Kerry","Number","147707"
"Population","2016","Both sexes","State","Limerick City and County","Number","194899"
"Population","2016","Both sexes","State","Tipperary","Number","159553"
"Population","2016","Both sexes","State","Waterford City and County","Number","116176"
"Population","2016","Both sexes","State","Galway City","Number","78668"
"Population","2016","Both sexes","State","Galway County","Number","179390"
"Population","2016","Both sexes","State","Leitrim","Number","32044"
"Population","2016","Both sexes","State","Mayo","Number","130507"
"Population","2016","Both sexes","State","Roscommon","Number","64544"
"Population","2016","Both sexes","State","Sligo","Number","65535"
"Population","2016","Both sexes","State","Cavan","Number","76176"
"Population","2016","Both sexes","State","Donegal","Number","159192"
"Population","2016","Both sexes","State","Monaghan","Number","61386"
"Population","2016","Both sexes","Aggregate Town Area","State","Number","2985781"
"Population","2016","Both sexes","Aggregate Town Area","Carlow","Number","28004"
"Population","2016","Both sexes","Aggregate Town Area","Dublin City","Number","554554"
"Population","2016","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","215453"
"Population","2016","Both sexes","Aggregate Town Area","Fingal","Number","274423"
"Population","2016","Both sexes","Aggregate Town Area","South Dublin","Number","273215"
"Population","2016","Both sexes","Aggregate Town Area","Kildare","Number","150338"
"Population","2016","Both sexes","Aggregate Town Area","Kilkenny","Number","38438"
"Population","2016","Both sexes","Aggregate Town Area","Laois","Number","40979"
"Population","2016","Both sexes","Aggregate Town Area","Longford","Number","13957"
"Population","2016","Both sexes","Aggregate Town Area","Louth","Number","85224"
"Population","2016","Both sexes","Aggregate Town Area","Meath","Number","114380"
"Population","2016","Both sexes","Aggregate Town Area","Offaly","Number","33421"
"Population","2016","Both sexes","Aggregate Town Area","Westmeath","Number","43435"
"Population","2016","Both sexes","Aggregate Town Area","Wexford","Number","57753"
"Population","2016","Both sexes","Aggregate Town Area","Wicklow","Number","92593"
"Population","2016","Both sexes","Aggregate Town Area","Clare","Number","46654"
"Population","2016","Both sexes","Aggregate Town Area","Cork City","Number","125657"
"Population","2016","Both sexes","Aggregate Town Area","Cork County","Number","214995"
"Population","2016","Both sexes","Aggregate Town Area","Kerry","Number","52126"
"Population","2016","Both sexes","Aggregate Town Area","Limerick City and County","Number","105047"
"Population","2016","Both sexes","Aggregate Town Area","Tipperary","Number","66244"
"Population","2016","Both sexes","Aggregate Town Area","Waterford City and County","Number","71546"
"Population","2016","Both sexes","Aggregate Town Area","Galway City","Number","78668"
"Population","2016","Both sexes","Aggregate Town Area","Galway County","Number","39913"
"Population","2016","Both sexes","Aggregate Town Area","Leitrim","Number","3422"
"Population","2016","Both sexes","Aggregate Town Area","Mayo","Number","37276"
"Population","2016","Both sexes","Aggregate Town Area","Roscommon","Number","17300"
"Population","2016","Both sexes","Aggregate Town Area","Sligo","Number","26097"
"Population","2016","Both sexes","Aggregate Town Area","Cavan","Number","23258"
"Population","2016","Both sexes","Aggregate Town Area","Donegal","Number","43414"
"Population","2016","Both sexes","Aggregate Town Area","Monaghan","Number","17997"
"Population","2016","Both sexes","Aggregate Rural Area","State","Number","1776084"
"Population","2016","Both sexes","Aggregate Rural Area","Carlow","Number","28928"
"Population","2016","Both sexes","Aggregate Rural Area","Dublin City","Number","0"
"Population","2016","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","2565"
"Population","2016","Both sexes","Aggregate Rural Area","Fingal","Number","21597"
"Population","2016","Both sexes","Aggregate Rural Area","South Dublin","Number","5552"
"Population","2016","Both sexes","Aggregate Rural Area","Kildare","Number","72166"
"Population","2016","Both sexes","Aggregate Rural Area","Kilkenny","Number","60794"
"Population","2016","Both sexes","Aggregate Rural Area","Laois","Number","43718"
"Population","2016","Both sexes","Aggregate Rural Area","Longford","Number","26916"
"Population","2016","Both sexes","Aggregate Rural Area","Louth","Number","43660"
"Population","2016","Both sexes","Aggregate Rural Area","Meath","Number","80664"
"Population","2016","Both sexes","Aggregate Rural Area","Offaly","Number","44540"
"Population","2016","Both sexes","Aggregate Rural Area","Westmeath","Number","45335"
"Population","2016","Both sexes","Aggregate Rural Area","Wexford","Number","91969"
"Population","2016","Both sexes","Aggregate Rural Area","Wicklow","Number","49832"
"Population","2016","Both sexes","Aggregate Rural Area","Clare","Number","72163"
"Population","2016","Both sexes","Aggregate Rural Area","Cork City","Number","0"
"Population","2016","Both sexes","Aggregate Rural Area","Cork County","Number","202216"
"Population","2016","Both sexes","Aggregate Rural Area","Kerry","Number","95581"
"Population","2016","Both sexes","Aggregate Rural Area","Limerick City and County","Number","89852"
"Population","2016","Both sexes","Aggregate Rural Area","Tipperary","Number","93309"
"Population","2016","Both sexes","Aggregate Rural Area","Waterford City and County","Number","44630"
"Population","2016","Both sexes","Aggregate Rural Area","Galway City","Number","0"
"Population","2016","Both sexes","Aggregate Rural Area","Galway County","Number","139477"
"Population","2016","Both sexes","Aggregate Rural Area","Leitrim","Number","28622"
"Population","2016","Both sexes","Aggregate Rural Area","Mayo","Number","93231"
"Population","2016","Both sexes","Aggregate Rural Area","Roscommon","Number","47244"
"Population","2016","Both sexes","Aggregate Rural Area","Sligo","Number","39438"
"Population","2016","Both sexes","Aggregate Rural Area","Cavan","Number","52918"
"Population","2016","Both sexes","Aggregate Rural Area","Donegal","Number","115778"
"Population","2016","Both sexes","Aggregate Rural Area","Monaghan","Number","43389"
"Population","2016","Male","State","State","Number","2354428"
"Population","2016","Male","State","Carlow","Number","28465"
"Population","2016","Male","State","Dublin City","Number","272270"
"Population","2016","Male","State","Dún Laoghaire-Rathdown","Number","104584"
"Population","2016","Male","State","Fingal","Number","145240"
"Population","2016","Male","State","South Dublin","Number","136277"
"Population","2016","Male","State","Kildare","Number","110546"
"Population","2016","Male","State","Kilkenny","Number","49533"
"Population","2016","Male","State","Laois","Number","42811"
"Population","2016","Male","State","Longford","Number","20587"
"Population","2016","Male","State","Louth","Number","63633"
"Population","2016","Male","State","Meath","Number","96776"
"Population","2016","Male","State","Offaly","Number","38838"
"Population","2016","Male","State","Westmeath","Number","44082"
"Population","2016","Male","State","Wexford","Number","73722"
"Population","2016","Male","State","Wicklow","Number","70156"
"Population","2016","Male","State","Clare","Number","58785"
"Population","2016","Male","State","Cork City","Number","61722"
"Population","2016","Male","State","Cork County","Number","206953"
"Population","2016","Male","State","Kerry","Number","73055"
"Population","2016","Male","State","Limerick City and County","Number","97340"
"Population","2016","Male","State","Tipperary","Number","79668"
"Population","2016","Male","State","Waterford City and County","Number","57651"
"Population","2016","Male","State","Galway City","Number","37800"
"Population","2016","Male","State","Galway County","Number","89863"
"Population","2016","Male","State","Leitrim","Number","16064"
"Population","2016","Male","State","Mayo","Number","65047"
"Population","2016","Male","State","Roscommon","Number","32377"
"Population","2016","Male","State","Sligo","Number","32365"
"Population","2016","Male","State","Cavan","Number","38330"
"Population","2016","Male","State","Donegal","Number","79022"
"Population","2016","Male","State","Monaghan","Number","30866"
"Population","2016","Male","Aggregate Town Area","State","Number","1458727"
"Population","2016","Male","Aggregate Town Area","Carlow","Number","13879"
"Population","2016","Male","Aggregate Town Area","Dublin City","Number","272270"
"Population","2016","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","103356"
"Population","2016","Male","Aggregate Town Area","Fingal","Number","134393"
"Population","2016","Male","Aggregate Town Area","South Dublin","Number","133403"
"Population","2016","Male","Aggregate Town Area","Kildare","Number","74035"
"Population","2016","Male","Aggregate Town Area","Kilkenny","Number","18711"
"Population","2016","Male","Aggregate Town Area","Laois","Number","20593"
"Population","2016","Male","Aggregate Town Area","Longford","Number","6925"
"Population","2016","Male","Aggregate Town Area","Louth","Number","41767"
"Population","2016","Male","Aggregate Town Area","Meath","Number","56044"
"Population","2016","Male","Aggregate Town Area","Offaly","Number","16350"
"Population","2016","Male","Aggregate Town Area","Westmeath","Number","21396"
"Population","2016","Male","Aggregate Town Area","Wexford","Number","27946"
"Population","2016","Male","Aggregate Town Area","Wicklow","Number","44993"
"Population","2016","Male","Aggregate Town Area","Clare","Number","22616"
"Population","2016","Male","Aggregate Town Area","Cork City","Number","61722"
"Population","2016","Male","Aggregate Town Area","Cork County","Number","105073"
"Population","2016","Male","Aggregate Town Area","Kerry","Number","24939"
"Population","2016","Male","Aggregate Town Area","Limerick City and County","Number","51878"
"Population","2016","Male","Aggregate Town Area","Tipperary","Number","32385"
"Population","2016","Male","Aggregate Town Area","Waterford City and County","Number","35254"
"Population","2016","Male","Aggregate Town Area","Galway City","Number","37800"
"Population","2016","Male","Aggregate Town Area","Galway County","Number","19261"
"Population","2016","Male","Aggregate Town Area","Leitrim","Number","1658"
"Population","2016","Male","Aggregate Town Area","Mayo","Number","17994"
"Population","2016","Male","Aggregate Town Area","Roscommon","Number","8445"
